usrid,0-core-calendar_event_created,0-core-calendar_event_deleted,0-core-msg_contact_added,0-core-msg_contact_blocked,0-core-msg_sent,0-core-msg_view,0-core-usr_login_failed,0-core-usr_profile_view,0-core-usr_submitin,0-core-usr_submitout,0-core-usr_updated,0-forum-usr_report_view,1-core-crs_view,1-forum-crs_mod_view,1-forum-crs_searched,1-forum-discussion_view,1-report_outline-report_view,2666-assign-assessable_log,2666-assign-crs_mod_instance_list_view,2666-assign-submission_form_view,2666-assign-submission_status_view,2666-assignsubmission_file-assessable_uploaded,2666-assignsubmission_file-submission_created,2666-assignsubmission_file-submission_updated,2666-chat-crs_mod_instance_list_view,2666-core-crs_view,2666-core-usr_graded,2666-core-usr_list_view,2666-core-usr_profile_view,2666-feedback-crs_mod_instance_list_view,2666-feedback-crs_mod_view,2666-feedback-response_log,2666-forum-assessable_uploaded,2666-forum-crs_mod_instance_list_view,2666-forum-crs_mod_view,2666-forum-crs_searched,2666-forum-discussion_subscription_created,2666-forum-discussion_subscription_deleted,2666-forum-discussion_view,2666-forum-post_created,2666-forum-post_deleted,2666-forum-post_updated,2666-forum-subscription_created,2666-gradereport_overview-grade_report_view,2666-gradereport_usr-grade_report_view,2666-page-crs_mod_instance_list_view,2666-page-crs_mod_view,2666-quiz-attempt_log,2666-quiz-attempt_started,2666-quiz-attempt_summary_view,2666-quiz-attempt_view,2666-quiz-crs_mod_instance_list_view,2666-quiz-crs_mod_view,2666-report_outline-report_view,2666-wiki-crs_mod_instance_list_view,507-core-crs_view,507-forum-crs_mod_view,507-gradereport_usr-grade_report_view,507-page-crs_mod_view,507-quiz-crs_mod_view,9-assign-crs_mod_instance_list_view,9-chat-crs_mod_view,9-chat-sessions_view,9-core-crs_view,9-core-usr_list_view,9-core-usr_profile_view,9-forum-crs_mod_view,9-forum-discussion_view,9-gradereport_overview-grade_report_view,9-gradereport_usr-grade_report_view,9-page-crs_mod_view,9-quiz-crs_mod_instance_list_view,9-quiz-crs_mod_view
2928,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,,,,,,,,4.0,1.0,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,
4721,,,,,,,5.0,3.0,3.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,1.0,1.0,,1.0
6907,,,,,,,1.0,3.0,14.0,9.0,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,29.0,,1.0,2.0,,,,6.0,,
7016,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7938,,,,,,,,1.0,2.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,2.0,1.0,
13929,,,,,,1.0,,3.0,26.0,24.0,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,1.0,62.0,1.0,8.0,12.0,12.0,1.0,3.0,12.0,1.0,2.0
16499,,,,,,3.0,,,6.0,4.0,,,14.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
16523,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17801,,,,,,2.0,,,2.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,1.0,1.0,1.0,,,,,,,,,,,,,
