usrid,enroldate
615,"2016-01-11"
704,"2016-01-09"
2928,"2016-01-08"
3021,"2016-01-12"
3660,"2016-01-14"
4721,"2016-01-13"
6142,"2016-01-09"
6907,"2016-01-13"
7016,"2016-01-08"
7938,"2016-01-21"
8326,"2016-01-15"
10756,"2016-01-13"
13463,"2016-01-15"
13929,"2016-01-12"
14022,"2016-01-13"
14028,"2016-01-18"
16290,"2016-01-08"
16475,"2016-01-08"
16499,"2016-01-08"
16523,"2016-01-13"
16897,"2016-01-14"
16957,"2016-01-22"
17318,"2016-01-08"
17688,"2016-01-08"
17801,"2016-01-08"
18158,"2016-01-08"
18198,"2016-01-13"
18502,"2016-01-08"
18548,"2016-01-08"
18764,"2016-01-12"
18778,"2016-01-11"
19140,"2016-01-14"
20985,"2016-01-08"
21310,"2016-01-14"
22143,"2016-01-08"
22187,"2016-01-08"
22457,"2016-01-08"
22557,"2016-01-08"
22996,"2016-01-08"
23010,"2016-01-08"
23017,"2016-01-08"
23050,"2016-01-08"
23157,"2016-01-08"
23206,"2016-01-08"
23228,"2016-01-08"
23352,"2016-01-08"
23694,"2016-01-08"
23848,"2016-01-18"
23926,"2016-01-08"
24065,"2016-01-08"
24234,"2016-01-08"
24352,"2016-01-08"
24470,"2016-01-08"
24914,"2016-01-08"
24970,"2016-01-08"
25054,"2016-01-08"
25063,"2016-01-08"
25096,"2016-01-08"
25285,"2016-01-08"
25319,"2016-01-08"
25362,"2016-01-08"
25384,"2016-01-08"
25561,"2016-01-08"
25601,"2016-01-08"
25607,"2016-01-14"
25610,"2016-01-08"
25758,"2016-01-08"
25774,"2016-01-08"
25788,"2016-01-08"
25865,"2016-01-08"
25887,"2016-01-08"
25913,"2016-01-08"
25919,"2016-01-08"
25920,"2016-01-08"
25933,"2016-01-08"
25953,"2016-01-08"
25998,"2016-01-08"
25999,"2016-01-08"
26035,"2016-01-09"
26050,"2016-01-08"
26054,"2016-01-08"
26171,"2016-01-08"
26193,"2016-01-12"
26200,"2016-01-08"
26238,"2016-01-08"
26254,"2016-01-08"
26298,"2016-01-08"
26311,"2016-01-08"
26328,"2016-01-08"
26358,"2016-01-08"
26415,"2016-01-08"
26434,"2016-01-08"
26450,"2016-01-08"
26491,"2016-01-08"
26527,"2016-01-08"
26528,"2016-01-08"
26599,"2016-01-08"
26746,"2016-01-08"
26783,"2016-01-14"
26808,"2016-01-08"
26812,"2016-01-08"
26850,"2016-01-08"
26939,"2016-01-14"
26968,"2016-01-08"
27041,"2016-01-08"
27053,"2016-01-08"
27090,"2016-01-08"
27115,"2016-01-08"
27116,"2016-01-08"
27166,"2016-01-08"
27255,"2016-01-08"
27258,"2016-01-08"
27270,"2016-01-08"
27288,"2016-01-08"
27363,"2016-01-08"
27384,"2016-01-08"
27448,"2016-01-08"
27472,"2016-01-08"
27478,"2016-01-08"
27482,"2016-01-08"
27483,"2016-01-08"
27484,"2016-01-08"
27485,"2016-01-08"
27517,"2016-01-08"
27539,"2016-01-08"
27544,"2016-01-08"
27555,"2016-01-08"
27558,"2016-01-08"
27572,"2016-01-08"
27604,"2016-01-08"
27606,"2016-01-08"
27621,"2016-01-08"
27626,"2016-01-08"
27636,"2016-01-08"
27645,"2016-01-08"
27652,"2016-01-08"
27662,"2016-01-08"
27665,"2016-01-08"
27685,"2016-01-08"
27714,"2016-01-08"
27715,"2016-01-11"
27736,"2016-01-08"
27771,"2016-01-08"
27773,"2016-01-08"
27793,"2016-01-08"
27798,"2016-01-08"
27826,"2016-01-08"
27833,"2016-01-08"
27841,"2016-01-08"
27889,"2016-01-08"
27897,"2016-01-08"
27908,"2016-01-08"
27910,"2016-01-08"
27918,"2016-01-08"
27941,"2016-01-08"
27947,"2016-01-08"
27962,"2016-01-08"
27970,"2016-01-08"
27971,"2016-01-08"
27974,"2016-01-08"
27976,"2016-01-08"
27979,"2016-01-08"
27992,"2016-01-08"
28053,"2016-01-08"
28079,"2016-01-08"
28120,"2016-01-08"
28130,"2016-01-08"
28138,"2016-01-08"
28179,"2016-01-08"
28183,"2016-01-08"
28190,"2016-01-08"
28204,"2016-01-08"
28238,"2016-01-08"
28241,"2016-01-08"
28256,"2016-01-08"
28262,"2016-01-08"
28269,"2016-01-08"
28311,"2016-01-08"
28322,"2016-01-08"
28333,"2016-01-14"
28360,"2016-01-08"
28371,"2016-01-08"
28377,"2016-01-08"
28386,"2016-01-08"
28399,"2016-01-08"
28432,"2016-01-08"
28433,"2016-01-08"
28436,"2016-01-08"
28448,"2016-01-08"
28491,"2016-01-08"
28499,"2016-01-08"
28508,"2016-01-08"
28525,"2016-01-08"
28527,"2016-01-08"
28531,"2016-01-08"
28535,"2016-01-08"
28549,"2016-01-08"
28555,"2016-01-08"
28558,"2016-01-08"
28559,"2016-01-08"
28567,"2016-01-08"
28572,"2016-01-08"
28577,"2016-01-08"
28590,"2016-01-08"
28601,"2016-01-08"
28603,"2016-01-08"
28610,"2016-01-08"
28634,"2016-01-08"
28647,"2016-01-08"
28676,"2016-01-08"
28679,"2016-01-08"
28693,"2016-01-08"
28697,"2016-01-08"
28703,"2016-01-14"
28709,"2016-01-08"
28729,"2016-01-08"
28758,"2016-01-08"
28768,"2016-01-08"
28770,"2016-01-08"
28781,"2016-01-08"
28782,"2016-01-08"
28805,"2016-01-08"
28806,"2016-01-08"
28829,"2016-01-08"
28834,"2016-01-08"
28843,"2016-01-08"
28848,"2016-01-08"
28853,"2016-01-08"
28857,"2016-01-08"
28861,"2016-01-08"
28871,"2016-01-08"
28884,"2016-01-08"
28899,"2016-01-08"
28926,"2016-01-08"
28935,"2016-01-08"
28943,"2016-01-08"
28976,"2016-01-08"
28981,"2016-01-08"
28985,"2016-01-08"
28994,"2016-01-08"
28996,"2016-01-08"
28998,"2016-01-08"
28999,"2016-01-08"
29000,"2016-01-08"
29002,"2016-01-08"
29007,"2016-01-08"
29008,"2016-01-08"
29015,"2016-01-08"
29017,"2016-01-08"
29027,"2016-01-08"
29029,"2016-01-08"
29030,"2016-01-08"
29032,"2016-01-08"
29046,"2016-01-08"
29054,"2016-01-08"
29064,"2016-01-08"
29066,"2016-01-08"
29068,"2016-01-08"
29070,"2016-01-08"
29075,"2016-01-08"
29077,"2016-01-08"
29080,"2016-01-08"
29081,"2016-01-08"
29089,"2016-01-14"
29092,"2016-01-08"
29096,"2016-01-08"
29099,"2016-01-08"
29106,"2016-01-08"
29117,"2016-01-08"
29119,"2016-01-08"
29122,"2016-01-11"
29130,"2016-01-08"
29135,"2016-01-08"
29137,"2016-01-08"
29141,"2016-01-08"
29146,"2016-01-08"
29154,"2016-01-08"
29159,"2016-01-08"
29168,"2016-01-08"
29170,"2016-01-08"
29171,"2016-01-08"
29179,"2016-01-08"
29196,"2016-01-08"
29202,"2016-01-08"
29204,"2016-01-08"
29213,"2016-01-08"
29222,"2016-01-08"
29224,"2016-01-08"
29230,"2016-01-08"
29233,"2016-01-08"
29247,"2016-01-08"
29248,"2016-01-08"
29254,"2016-01-08"
29255,"2016-01-08"
29259,"2016-01-08"
29272,"2016-01-08"
29275,"2016-01-08"
29277,"2016-01-08"
29280,"2016-01-08"
29281,"2016-01-08"
29282,"2016-01-08"
29283,"2016-01-08"
29286,"2016-01-08"
29287,"2016-01-08"
29294,"2016-01-08"
29299,"2016-01-08"
29300,"2016-01-08"
29305,"2016-01-08"
29307,"2016-01-08"
29315,"2016-01-08"
29323,"2016-01-08"
29330,"2016-01-08"
29334,"2016-01-08"
29336,"2016-01-08"
29338,"2016-01-08"
29353,"2016-01-08"
29366,"2016-01-08"
29368,"2016-01-08"
29372,"2016-01-08"
29374,"2016-01-08"
29375,"2016-01-08"
29384,"2016-01-08"
29390,"2016-01-08"
29391,"2016-01-08"
29392,"2016-01-08"
29398,"2016-01-08"
29407,"2016-01-08"
29411,"2016-01-08"
29412,"2016-01-08"
29417,"2016-01-08"
29418,"2016-01-08"
29419,"2016-01-08"
29420,"2016-01-08"
29432,"2016-01-08"
29436,"2016-01-08"
29438,"2016-01-08"
29445,"2016-01-08"
29449,"2016-01-08"
29454,"2016-01-08"
29455,"2016-01-08"
29457,"2016-01-08"
29461,"2016-01-08"
29464,"2016-01-08"
29465,"2016-01-08"
29466,"2016-01-08"
29468,"2016-01-08"
29469,"2016-01-08"
29470,"2016-01-08"
29473,"2016-01-08"
29477,"2016-01-08"
29480,"2016-01-08"
29483,"2016-01-08"
29484,"2016-01-08"
29485,"2016-01-08"
29486,"2016-01-08"
29490,"2016-01-08"
29494,"2016-01-08"
29495,"2016-01-08"
29501,"2016-01-08"
29502,"2016-01-08"
29504,"2016-01-08"
29505,"2016-01-08"
29507,"2016-01-08"
29512,"2016-01-08"
29514,"2016-01-08"
29518,"2016-01-08"
29520,"2016-01-08"
29524,"2016-01-08"
29527,"2016-01-08"
29528,"2016-01-08"
29533,"2016-01-08"
29537,"2016-01-08"
29539,"2016-01-08"
29540,"2016-01-08"
29543,"2016-01-08"
29544,"2016-01-08"
29545,"2016-01-08"
29549,"2016-01-08"
29551,"2016-01-08"
29558,"2016-01-08"
29559,"2016-01-08"
29560,"2016-01-08"
29562,"2016-01-08"
29563,"2016-01-08"
29566,"2016-01-08"
29570,"2016-01-08"
29579,"2016-01-08"
29581,"2016-01-08"
29588,"2016-01-08"
29589,"2016-01-08"
29591,"2016-01-08"
29594,"2016-01-08"
29595,"2016-01-08"
29598,"2016-01-08"
29599,"2016-01-08"
29603,"2016-01-08"
29610,"2016-01-08"
29613,"2016-01-08"
29614,"2016-01-08"
29615,"2016-01-08"
29616,"2016-01-08"
29620,"2016-01-08"
29628,"2016-01-08"
29629,"2016-01-08"
29631,"2016-01-08"
29636,"2016-01-08"
29644,"2016-01-08"
29646,"2016-01-08"
29652,"2016-01-08"
29654,"2016-01-08"
29655,"2016-01-08"
29656,"2016-01-08"
29657,"2016-01-08"
29661,"2016-01-08"
29662,"2016-01-08"
29664,"2016-01-08"
29669,"2016-01-08"
29670,"2016-01-08"
29675,"2016-01-08"
29676,"2016-01-08"
29678,"2016-01-08"
29679,"2016-01-08"
29681,"2016-01-08"
29687,"2016-01-08"
29690,"2016-01-08"
29692,"2016-01-08"
29694,"2016-01-08"
29695,"2016-01-08"
29701,"2016-01-08"
29702,"2016-01-08"
29705,"2016-01-08"
29709,"2016-01-08"
29713,"2016-01-08"
29714,"2016-01-08"
29715,"2016-01-08"
29717,"2016-01-08"
29718,"2016-01-08"
29719,"2016-01-08"
29720,"2016-01-08"
29722,"2016-01-08"
29726,"2016-01-08"
29730,"2016-01-08"
29731,"2016-01-08"
29732,"2016-01-08"
29735,"2016-01-08"
29736,"2016-01-08"
29738,"2016-01-08"
29740,"2016-01-08"
29743,"2016-01-08"
29744,"2016-01-08"
29745,"2016-01-08"
29746,"2016-01-08"
29747,"2016-01-08"
29748,"2016-01-08"
29749,"2016-01-08"
29750,"2016-01-08"
29751,"2016-01-08"
29752,"2016-01-08"
